owner_id,owner_tag,stratum,target_spending,raw_spending,error_scale,raw_error,raw_abs_error,raw_relative_error,exact_feasible,approx_exact,approx_accepted,approx_gate_passed,approx_gate_enforced,approx_strategy,exact_spending,exact_error,exact_abs_error,exact_relative_error,exact_abs_improvement,exact_improvement_ratio,exact_worsening_ratio,exact_worsening_percentage,exact_direction,approx_spending,approx_error,approx_abs_error,approx_relative_error,approx_abs_improvement,approx_improvement_ratio,approx_worsening_ratio,approx_worsening_percentage,approx_direction
1851,AAC,nobles,0.86714,1.03114,1.03114,0.16399999999999992,0.16399999999999992,0.15904726807223066,False,False,False,False,True,raw_fallback,,,,,,,,,unavailable,1.03114,0.16399999999999992,0.16399999999999992,0.15904726807223066,0.0,0.0,0.0,0.0,unchanged
1851,AAC,clergy,0.32003,0.07869,0.07869,-0.24134,0.24134,-3.066971660948024,False,False,False,False,True,raw_fallback,,,,,,,,,unavailable,0.07869,-0.24134,0.24134,-3.066971660948024,0.0,0.0,0.0,0.0,unchanged
1851,AAC,burghers,0.67381,1.21208,1.21208,0.53827,0.53827,0.44408784898686554,False,False,False,False,True,raw_fallback,,,,,,,,,unavailable,1.21208,0.53827,0.53827,0.44408784898686554,0.0,0.0,0.0,0.0,unchanged
1851,AAC,lower,0.5096,0.04866,0.04866,-0.46094000000000007,0.46094000000000007,-9.472667488697082,False,False,False,False,True,raw_fallback,,,,,,,,,unavailable,0.04866,-0.46094000000000007,0.46094000000000007,-9.472667488697082,0.0,0.0,0.0,0.0,unchanged
152,AAD,nobles,1.40629,1.58205,1.58205,0.17575999999999992,0.17575999999999992,0.1110963623147182,False,False,False,False,True,raw_fallback,,,,,,,,,unavailable,1.58205,0.17575999999999992,0.17575999999999992,0.1110963623147182,0.0,0.0,0.0,0.0,unchanged
152,AAD,clergy,0.3137,0.27143,0.27143,-0.042269999999999974,0.042269999999999974,-0.155730759311793,False,False,False,False,True,raw_fallback,,,,,,,,,unavailable,0.27143,-0.042269999999999974,0.042269999999999974,-0.155730759311793,0.0,0.0,0.0,0.0,unchanged
152,AAD,burghers,0.0,0.0,1e-05,0.0,0.0,0.0,False,False,False,False,True,raw_fallback,,,,,,,,,unavailable,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,unchanged
152,AAD,lower,0.21436,0.08083,0.08083,-0.13352999999999998,0.13352999999999998,-1.6519856488927376,False,False,False,False,True,raw_fallback,,,,,,,,,unavailable,0.08083,-0.13352999999999998,0.13352999999999998,-1.6519856488927376,0.0,0.0,0.0,0.0,unchanged
392,AAI,nobles,5.16317,5.18932,5.18932,0.02615000000000034,0.02615000000000034,0.005039195886937082,True,True,True,True,True,balanced_l2,5.16317,0.0,0.0,0.0,0.02615000000000034,1.0,0.0,0.0,improved,5.163169999999998,-1.7763568394002505e-15,1.7763568394002505e-15,-3.423101368580566e-16,0.026149999999998563,0.999999999999932,0.0,0.0,improved
392,AAI,clergy,0.65854,0.65597,0.65597,-0.002569999999999961,0.002569999999999961,-0.003917862097351954,True,True,True,True,True,balanced_l2,0.65854,0.0,0.0,0.0,0.002569999999999961,1.0,0.0,0.0,improved,0.6585400000000019,1.887379141862766e-15,1.887379141862766e-15,2.8772339312205833e-15,0.002569999999998074,0.9999999999992656,0.0,0.0,improved
