workshop_id,mod_name,good,price,nobles,clergy,burghers,laborers,peasants,soldiers,tribesmen,slaves,wealth_all,development_threshold
3736761633,Just Soap,aromatics,3,0.05,0.01,0.01,0,0,0,0,0,1.25,
3745661335,Just Brass,bells,3,0.01,0.03,0.01,0,0,0,0,0,,
3745661335,Just Brass,brassware,3,0.125,0.03,0.015,0,0,0,0,0,1.25,
3736761633,Just Soap,candles,2.5,0.02,0.02,0.01,0.001,0.0005,0.001,0,0.0002,,
3730619029,Just Spices,cardamom,4,0.03,0.003,0.0015,0,0,0,0,0,,
3728969190,Just Cheese,cheese,2.5,0,0.032,0.016,0.0012,0.0008,0.0016,0,0,1.25,
3730619029,Just Spices,cinnamon,5,0.03,0.003,0.0015,0,0,0,0,0,,
3736761633,Just Soap,cosmetics,4,0.08,0,0.016,0,0,0,0,0,1.25,
3730619029,Just Spices,ginger,3,0.05,0.005,0.0025,0.0001,0.0001,0.0001,0,0,1.1,
3739246567,Just Meat,meat,2,0,0.034,0.018,0.0015,0.001,0.002,0,0.0005,,
3730619029,Just Spices,nutmeg,7,0.02,0.002,0.001,0,0,0,0,0,,
3745661335,Just Brass,ornaments,4,0.05,0.03,0.0025,0,0,0,0,0,1.25,
3736761633,Just Soap,palmoil,1.5,0.01,0.01,0.005,0.0005,0.00025,0.0005,0,0.0001,,
3736761633,Just Soap,perfume,4,0.08,0,0.016,0,0,0,0,0,1.25,
3745661335,Just Brass,pewterware,2.5,0.03,0.03,0.01,0.001,0.0008,0.001,0,0,1.25,
3736761633,Just Soap,soap,3,0.02,0.02,0.01,0.001,0.0005,0.001,0,0.0002,0.5,
3745661335,Just Brass,silverware,5,0.05,0,0.0025,0,0,0,0,0,1.25,
3730619029,Just Spices,star_anise,3,0.05,0.005,0.0025,0,0,0,0,0,1.1,
3736761633,Just Soap,tallow,2,0.01,0.01,0.005,0.0005,0.0003,0.0005,0,0.0001,,
3730619029,Just Spices,turmeric,3,0.05,0.005,0.0025,0.0001,0.0001,0.0001,0,0,1.1,
3730619029,Just Spices,vanilla,7,0.05,0.005,0.0025,0,0,0,0,0,1.1,
3736761633,Just Soap,whaleoil,1.5,0.009,0.009,0.00011,0.00033,0.000225,0.00045,0,0.0001,,
